candidate,symbol,split,scenario,name,sweep_window,volume_multiplier,trend_filter,cisd_atr_multiplier,target_r,max_bars_in_trade,stop_atr_multiplier,initial_capital,final_equity,net_return,buy_hold_return,excess_vs_buy_hold,cagr,max_drawdown,sharpe_hourly_annualized,trades,win_rate,profit_factor,expectancy_usdt,average_holding_bars,start,end
ema_s24,BTCUSDT,oos,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9688.843587451003,-0.03111564125489963,-0.24183233301252038,0.21071669175762076,-0.023430676924080407,-0.10750842160660401,-0.4661961816701005,28,0.42857142857142855,0.7729565785441028,-11.112729019607027,27.142857142857142,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s24,ETHUSDT,development,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9170.625149834392,-0.08293748501656084,-0.06737175393611994,-0.015565731080440903,-0.034081830228943066,-0.09915038113857777,-0.8499720421371706,34,0.29411764705882354,0.5752600992807668,-24.393377946047302,27.352941176470587,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s24,ETHUSDT,development,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,8931.394630513343,-0.10686053694866571,-0.0692351532899157,-0.03762538365875001,-0.044253764650543204,-0.11947026253000648,-1.1339009059168041,34,0.2647058823529412,0.4794522818272281,-31.429569690784025,28.352941176470587,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s24,ETHUSDT,validation,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9264.381224723942,-0.07356187752760579,-0.4714224090972826,0.3978605315696768,-0.0968526992231391,-0.07791168139017779,-2.5355148031141375,10,0.1,0.07477184143781686,-73.56187752760579,19.9,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s24,ETHUSDT,validation,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9193.030348832262,-0.08069696511677371,-0.47247851172496513,0.3917815466081914,-0.10611435379141165,-0.08417255165317261,-2.8117067715013704,10,0.1,0.05968060700049907,-80.69696511677375,19.9,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s24,ETHUSDT,oos,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9467.635126101926,-0.05323648738980735,0.019184282076316617,-0.07242076946612397,-0.04020251072758885,-0.09372931184289324,-0.846264413696215,22,0.3181818181818182,0.6224249329938503,-24.19840335900335,27.272727272727273,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s24,ETHUSDT,oos,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9357.612709551473,-0.06423872904485273,0.017147943009131916,-0.08138667205398464,-0.04858071626664673,-0.0995647216677682,-1.0377344735702068,22,0.3181818181818182,0.5635156580874071,-29.199422293114864,27.454545454545453,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s24,SOLUSDT,development,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9512.181201838386,-0.04878187981616133,-0.14005019758997006,0.09126831777380873,-0.019831070992529454,-0.08776856315787462,-0.5048094788087681,30,0.3333333333333333,0.7529277767051337,-16.260626605387127,18.666666666666668,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s24,SOLUSDT,development,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9422.098301216198,-0.05779016987838026,-0.1417683847807082,0.08397821490232793,-0.023559412784820433,-0.09424625583452007,-0.6099899467551769,30,0.3333333333333333,0.715077671113702,-19.263389959460074,18.866666666666667,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s24,SOLUSDT,validation,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,10249.13987295539,0.024913987295538842,-0.15291060968365033,0.17782459697918918,0.03335325031553982,-0.02388503852697943,0.6632086739452973,13,0.46153846153846156,1.3813376199326661,19.16460561195303,17.923076923076923,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
